cultura,precipitacao_mm_dia,umidade_especifica_2m_g_kg,umidade_relativa_2m_pct,temperatura_2m_c,rendimento_t_ha,cluster,outlier,score_anomalia,pca_1,pca_2
"Rice, paddy",2729.53,18.41,86.03,26.11,35277,1,False,0.12624476732223844,1.5963739901590448,-0.5796451659067395
"Rice, paddy",3085.79,18.34,86.1,26.03,35836,1,False,0.040958234103673274,2.2059817935804475,-1.2221291050498835
"Rice, paddy",2922.18,18.43,85.51,26.23,37205,1,False,0.10130109128563086,1.7950110465074895,-0.13652100981626866
"Rice, paddy",2546.33,18.43,84.23,26.49,36361,0,False,0.09335281235178022,0.40891201012975587,1.4142248842187117
"Rice, paddy",2938.29,18.22,85.42,26.06,37468,1,False,0.10540545176449861,1.3001219260464452,-0.9455063281743323
"Rice, paddy",2771.73,18.38,84.98,26.3,37972,1,False,0.10774858135825632,1.119634742843359,0.3121429752208875
"Rice, paddy",2607.96,18.37,84.67,26.35,38763,0,False,0.1195172572512953,0.607799134468388,0.6884862288993534
"Rice, paddy",2604.59,18.19,83.44,26.43,29855,0,False,0.08454036783825747,-0.40154732157206247,1.1240266359042155
"Rice, paddy",2308.51,18.27,83.65,26.47,40223,0,False,0.09790199023125062,-0.7267581242508836,1.5096979086711941
"Rice, paddy",2410.13,18.58,83.45,26.81,39775,0,False,0.037929967031522294,0.11711683043430163,3.0027205809638997
"Rice, paddy",2967.41,18.67,85.48,26.46,37496,1,False,0.013218652238256023,2.434134432403587,0.8975564576759499
"Rice, paddy",2333.46,18.5,84.85,26.43,37704,0,False,0.10041399825986774,0.4235935137952802,1.2659171923710326
"Rice, paddy",2109.34,18.51,83.52,26.72,42550,0,False,0.03208518953009132,-0.64265974339384,2.8262848328790557
"Rubber, natural",2248.92,17.72,83.4,26.01,9322,2,False,0.06544103157912906,-2.2495723686355955,-0.5708095312582007
"Rubber, natural",1938.42,17.54,82.11,26.11,9223,2,True,-0.031148161166242083,-3.921370680696902,0.17922499865981584
"Rubber, natural",2301.54,17.81,82.79,26.24,9866,2,False,0.04866735280085788,-2.2084060948668838,0.4487831591460953
"Rubber, natural",2592.35,17.61,85.07,25.56,9718,2,True,-0.0033173126504860706,-1.0066286278529253,-2.983475915429647
"Rubber, natural",2344.72,17.61,84.12,25.76,9573,2,False,0.05104469675398937,-1.9669285227539568,-1.83519441983574
"Rubber, natural",2339.3,17.7,84.54,25.76,10024,2,False,0.05889144640617683,-1.569072218154771,-1.8534039812236776
"Rubber, natural",2326.09,18.09,84.63,26.11,10285,2,False,0.13189271618749326,-0.642789875422092,-0.2317126451927959
"Rubber, natural",2718.08,18.3,85.43,26.12,10010,1,False,0.1432906316223529,1.02789333741268,-0.4806403230778592
"Rubber, natural",2061.61,17.8,84.36,25.88,8604,2,False,0.0655215389211129,-2.002616138028557,-1.062334886886584
"Rubber, natural",1934.62,17.94,83.43,26.21,8002,2,False,0.05848089115191357,-2.374936951064214,0.5911947568668181
"Rubber, natural",2217.12,18.03,84.39,26.1,6913,2,False,0.120747626839868,-1.1238218321327347,-0.17979555578072193
"Rubber, natural",2249.7,18.01,84.24,26.11,6546,2,False,0.1200322476659843,-1.1746117772820652,-0.14783909764718275
"Rubber, natural",2530.96,18.15,85.33,26.02,6077,1,False,0.13234286219585356,0.25184988372827166,-0.8309435559396714
"Rubber, natural",2504.7,18.19,85.45,26.02,6333,1,False,0.141415196764677,0.34105818377729974,-0.7954392749599135
"Rubber, natural",2686.2,18.38,85.77,26.13,6448,1,False,0.1339025105656475,1.311132349016574,-0.4337722084981524
"Rubber, natural",2414.79,18.18,85.76,25.93,6562,1,False,0.10045575348477365,0.26912578118845903,-1.1305362220315243
"Rubber, natural",1999.53,18.2,84.36,26.27,6008,0,False,0.08651783992322148,-1.1911079820637802,0.7655624165429676
"Rubber, natural",2362.8,18.7,84.03,26.79,5693,0,False,0.024634228854642504,0.5660649910279686,2.941364507051906
"Rubber, natural",2792.95,18.24,86.04,25.95,5249,1,False,0.08813923575665861,1.3368902221556138,-1.3711390025518735
"Rubber, natural",2751.24,18.31,85.98,26.02,6484,1,False,0.11053120643069914,1.381414618006448,-0.9997195581116879
"Rubber, natural",2646.28,18.4,86.02,26.1,6348,1,False,0.12102060900726619,1.3941374936628328,-0.5582482243258413
"Rubber, natural",2302.99,18.22,84.48,26.25,6597,0,False,0.1417694984461173,-0.4644055918107852,0.4616809074463631
"Rubber, natural",2692.34,18.37,85.54,26.18,7435,1,False,0.14013985053462352,1.1978629650424046,-0.2163773807228158
"Rubber, natural",2424.55,18.28,85.16,26.18,9139,1,False,0.13944493043836415,0.25545814476567147,-0.00733245819002398
"Rubber, natural",2363.63,18.35,84.92,26.28,8857,0,False,0.124306463052824,0.17176191007650182,0.53719213363282
"Rubber, natural",2892.78,18.49,86.09,26.18,10159,1,False,0.0760492263118927,2.153904549753226,-0.39354472553994685
"Rubber, natural",2729.53,18.41,86.03,26.11,9612,1,False,0.12520478144841102,1.5963739901590448,-0.5796451659067395
